Datum,Infizierte,Tote,Krankenhausfälle
11.03.20,195,1,39
12.03.20,253,1,51
13.03.20,329,2,66
14.03.20,428,2,86
15.03.20,556,3,111
16.03.20,724,5,145
17.03.20,941,6,188
18.03.20,1.223,8,245
19.03.20,1.590,11,318
20.03.20,2.067,14,413
21.03.20,2.688,18,538
22.03.20,3.494,24,699
23.03.20,4.543,31,909
24.03.20,5.906,41,1.181
25.03.20,7.677,53,1.535
26.03.20,9.981,69,1.996
27.03.20,12.975,90,2.595
28.03.20,16.868,118,3.374
29.03.20,21.928,153,4.386
30.03.20,28.507,199,5.701
31.03.20,37.059,259,7.412
01.04.20,48.177,337,9.635
02.04.20,62.630,438,12.526
03.04.20,81.420,569,16.284
04.04.20,105.846,740,21.169
05.04.20,137.599,963,27.520
06.04.20,178.879,1.252,35.776
07.04.20,232.543,1.627,46.509
08.04.20,302.307,2.116,60.461
09.04.20,392.999,2.750,78.600
10.04.20,510.899,3.576,102.180
11.04.20,664.168,4.649,132.834
12.04.20,863.419,6.043,172.684
13.04.20,1.122.445,7.857,224.489
14.04.20,1.459.179,10.214,291.836
15.04.20,1.896.932,13.278,379.386
16.04.20,2.466.012,17.262,493.202
17.04.20,3.205.816,22.440,641.163
18.04.20,4.167.561,29.172,833.512
19.04.20,5.417.829,37.924,1.083.566
20.04.20,3.792.480,64.472,758.496
21.04.20,2.654.736,83.055,530.947
22.04.20,1.858.315,96.063,371.663
23.04.20,1.300.820,105.169,260.164
24.04.20,910.574,111.543,182.115
25.04.20,637.402,116.005,127.480
26.04.20,446.181,119.128,89.236
27.04.20,312.327,121.314,62.465
28.04.20,218.628,122.845,43.726
29.04.20,153.040,123.916,30.608
30.04.20,107.128,124.666,21.426
01.05.20,74.989,125.191,14.998
02.05.20,52.492,125.558,10.498
03.05.20,36.744,125.815,7.349
04.05.20,25.721,125.995,5.144
05.05.20,18.005,126.121,3.601
06.05.20,12.603,126.210,2.521
07.05.20,8.822,126.271,1.764
08.05.20,6.175,126.315,1.235
09.05.20,4.323,126.345,865
10.05.20,3.026,126.366,605
11.05.20,2.118,126.381,424
12.05.20,1.482,126.391,296
13.05.20,1.037,126.399,207
14.05.20,726,126.404,145
15.05.20,508,126.407,102
16.05.20,356,126.410,71
17.05.20,249,126.411,50
18.05.20,174,126.413,35
19.05.20,122,126.414,24
20.05.20,85,126.414,17
21.05.20,59,126.415,12
22.05.20,41,126.415,8
23.05.20,29,126.415,6
24.05.20,20,126.415,4
25.05.20,14,126.415,3
26.05.20,10,126.415,2
27.05.20,7,126.415,1
