Datum;Infizierte;Tote
01-22-2020;547;17
01-23-2020;639;18
01-24-2020;916;26
01-25-2020;1399;42
01-26-2020;2062;56
01-27-2020;2863;82
01-28-2020;5494;131
01-29-2020;6070;133
01-30-2020;8124;171
01-31-2020;9783;213
02-01-2020;11871;259
02-02-2020;16607;361
02-03-2020;19693;425
02-04-2020;23680;490
02-05-2020;27409;562
02-06-2020;30553;632
02-07-2020;34075;717
02-08-2020;36778;804
02-09-2020;39790;904
02-10-2020;42306;1011
02-11-2020;44327;1111
02-12-2020;44699;1116
02-13-2020;59832;1368
02-14-2020;66292;1520
02-15-2020;68347;1662
02-16-2020;70446;1765
02-17-2020;72364;1863
02-18-2020;74139;2002
02-19-2020;74546;2114
02-20-2020;74999;2236
02-21-2020;75472;2236
02-22-2020;76922;2441
02-23-2020;76938;2443
02-24-2020;77152;2593
02-25-2020;77660;2663
02-26-2020;78065;2715
02-27-2020;78498;2744
02-28-2020;78824;2788
02-29-2020;79251;2835
03-01-2020;79826;2870
03-02-2020;80026;2912
03-03-2020;80151;2945
03-04-2020;80271;2981
03-05-2020;80422;3013
03-06-2020;80573;3042
03-07-2020;80652;3070
03-08-2020;80699;3097
03-09-2020;80735;3120
03-10-2020;80757;3136
03-11-2020;0;0
03-12-2020;0;0
03-13-2020;0;0
